# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.4399	0.4399	50	1
always_on_tmr	0.44544	0.44544	50	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	277252712	0	3	0	0	3	10	10	2	1	1.56816e-15	2.77778e-14	1.662
on_demand_tmr	744714447	0	3	0	1	2	5	5	2	1	1.56816e-15	1.38889e-14	0.5188
on_demand_tmr	1322315680	0	3	0	0	1	2	2	2	1	1.64736e-15	5.55556e-15	0.1056
on_demand_tmr	1333791298	0	3	0	2	0	10	10	2	1	1.56816e-15	2.77778e-14	1.7016
on_demand_tmr	1435716328	0	3	0	1	2	20	20	2	1	1.73056e-15	5.55556e-14	2.0244
on_demand_tmr	1911021521	0	3	0	2	3	20	20	2	1	1.56816e-15	5.55556e-14	2.5016
on_demand_tmr	2627177393	0	3	0	3	4	50	50	2	1	1.56816e-15	1.38889e-13	2.8204
on_demand_tmr	3382051824	0	3	0	2	0	10	10	2	1	1.56816e-15	2.77778e-14	1.7016
on_demand_tmr	3724081502	0	3	0	0	3	100	100	2	1	1.56816e-15	2.77778e-13	3.7372
