# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E5S120_5ecu_120signals_001.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.38896920000000001	0.38896920000000001	120	30	1
baseline1	0.41274520000000009	0.41274520000000009	120	68	1
baseline2	0.28434610631459767	0.28434599999999999	120	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.05762916000001371	0.18800000000000416
foundation	B	12	0.029257866666688916	0.108800000000004
foundation	C	12	0.015000666666669436	0.044560000000006997
foundation	D	6	0.01107926666666874	0.023760000000004312
baseline1	A	90	0.046158742222236662	0.20200000000019713
baseline1	B	12	0.039873266666673707	0.11880000000002156
baseline1	C	12	0.024059000000004032	0.067520000000013167
baseline1	D	6	0.028449200000003883	0.0738800000000083
baseline2	A	90	0.049205804444444445	0.20600000000000002
baseline2	B	12	0.054033500000000005	0.16639999999999999
baseline2	C	12	0.04011	0.092679999999999985
baseline2	D	6	0.051582533333333326	0.1206

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	4.0266665854542161e-08	4.7599998867120025e-08
foundation	B	12	1.5813599371035861e-15	1.6473599331171859e-15
foundation	C	12	1.6288932674299065e-15	1.9009599171181472e-15
foundation	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	90	2.2991111378434643e-08	4.1599999134720006e-08
baseline1	B	12	1.5952266029188393e-15	1.7305599280087053e-15
baseline1	C	12	1.6824265972039597e-15	2.2657598921498278e-15
baseline1	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	90	0	0
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	6
baseline1	A	90	38
baseline1	B	12	12
baseline1	C	12	12
baseline1	D	6	6
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	13340544202817163090	C	2	0	100	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.55439997804586194	1.5543122344752192e-15	0.55440000000010059	2.3564000000004626
foundation	9178077569472266082	B	1	0	1	1	0	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.10879999569152426	1.5543122344752192e-15	0.108800000000004	0.11880000000000024
foundation	1020984599527478571	B	1	0	2	2	1	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.089199996468140239	1.5543122344752192e-15	0.089200000000460022	0.18800000000000416
foundation	14303789300749389473	B	1	0	5	0	2	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.35640000000006467
foundation	481968303138805792	B	1	1	10	2	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.64359997322634754	1.6653345369377348e-15	0.64360000000010587	0.67720000000014124
foundation	6049806019113248927	B	1	0	10	0	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.44559998235431098	1.5543122344752192e-15	0.44560000000006994	0.51480000000009341
foundation	7910198133055141353	B	1	0	10	3	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.3604000000002543
foundation	16046525365252400038	B	1	0	10	2	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.64359997322634754	1.6653345369377348e-15	0.64360000000010587	0.67720000000014124
foundation	6573659502695447285	B	1	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.16039999364819868	1.5543122344752192e-15	0.16040000000003829	0.60200000000008913
foundation	2001482828499808371	B	1	0	100	4	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.19799999215923639	1.5543122344752192e-15	0.19800000000003593	2.5544000000004985
foundation	9407169687020308121	B	1	0	100	2	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.11879999529554183	1.5543122344752192e-15	0.11880000000002156	2.3960000000004698
foundation	17161335824086702269	B	1	0	100	2	4	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.11879999529554183	1.5543122344752192e-15	0.11880000000002156	2.8316000000005488
foundation	14965162255398099513	B	1	0	1000	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.15839999372736069	1.5543122344752192e-15	0.15840000000000032	3.2672000000000043
foundation	265660623066287382	A	0	0	1	0	1	1	0	3.9599999215920021e-08	1	0.069200000000003925	3.95999991686935e-08	0.069200000000003925	0.069200000000003925
foundation	3755807308997357494	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.18800000000000416	3.95999991686935e-08	0.18800000000000416	0.18800000000000416
foundation	6742779538274238889	A	0	0	1	2	0	1	0	3.9599999215920021e-08	1	0.14840000000000408	3.95999991686935e-08	0.14840000000000408	0.14840000000000408
foundation	7268913193802622312	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.18800000000000416	3.95999991686935e-08	0.18800000000000416	0.18800000000000416
foundation	76520945045136126	A	0	0	2	0	2	1	0	3.9599999215920021e-08	1	0.23760000000044101	3.95999991686935e-08	0.23760000000044101	0.23760000000044101
