# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.617882	0.673322	39	1
always_on_tmr	0.465326	0.465326	0	0

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	316731210	3	0	1.38889e-14
on_demand_tmr	511927277	3	0	1.38889e-14
always_on_tmr	316731210	3	5.77316e-15	1.38889e-14
always_on_tmr	511927277	3	7.77156e-15	1.38889e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	316731210	5	5	1.011	1.5608	0	0.5214	1.4214	0.01	0	1.021	3.5236	1
on_demand_tmr	511927277	5	5	0.6918	0.9294	0	0.6402	1.3302	0.01	0	0.7018	2.9198	1
always_on_tmr	316731210	5	5	0	0	0.7078	0	0	0.01	0	0.7178	0.7178	1
always_on_tmr	511927277	5	5	0	0	0.6662	0	0	0.01	0	0.6762	0.6762	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	316731210	0	3	1	1	0	5	5	2	1	1.64736e-15	1.38889e-14	1.5608
on_demand_tmr	316731210	1	3	2	4	0	5	5	2	1	1.80576e-15	1.38889e-14	1.0146
on_demand_tmr	316731210	2	3	2	2	0	5	5	2	1	2.04336e-15	1.38889e-14	1.4214
on_demand_tmr	511927277	0	3	1	1	2	5	5	2	1	1.81376e-15	1.38889e-14	0.8046
on_demand_tmr	511927277	1	3	2	4	2	5	5	2	1	1.73056e-15	1.38889e-14	0.9294
on_demand_tmr	511927277	2	3	2	0	2	5	5	2	1	2.55136e-15	1.38889e-14	1.3302
on_demand_tmr	1112753983	0	3	0	1	2	100	100	2	1	1.73056e-15	2.77778e-13	4.7132
on_demand_tmr	1681168815	0	3	0	2	0	10	10	2	1	3.59136e-15	2.77778e-14	2.7102
on_demand_tmr	2014651909	0	3	0	0	1	100	100	2	1	2.35296e-15	2.77778e-13	4.63
on_demand_tmr	2101055341	0	3	0	4	3	10	10	2	1	3.45216e-15	2.77778e-14	2.8294
on_demand_tmr	2466320132	0	3	0	4	1	10	10	2	1	2.55136e-15	2.77778e-14	2.02
on_demand_tmr	2876955543	0	3	0	3	4	20	20	2	1	1.80576e-15	5.55556e-14	3.8726
on_demand_tmr	3420204315	0	3	0	2	1	2	2	3	2	3.04433e-22	5.55556e-15	0.432
on_demand_tmr	3504203628	0	3	0	1	4	10	10	2	1	2.22976e-15	2.77778e-14	2.597
on_demand_tmr	419234765	0	2	0	2	0	10	10	2	1	3.59136e-15	2.77778e-13	2.7102
on_demand_tmr	530711390	0	2	0	2	4	10	10	2	1	2.45616e-15	2.77778e-13	3.4266
on_demand_tmr	591038936	0	2	0	0	3	10	10	2	1	2.76576e-15	2.77778e-13	1.9188
on_demand_tmr	1298153917	0	2	0	1	3	10	10	2	1	1.73056e-15	2.77778e-13	2.9622
on_demand_tmr	1385970886	0	2	0	1	3	50	50	2	1	2.17056e-15	1.38889e-12	4.0174
on_demand_tmr	2041156400	0	2	0	0	2	2	2	2	1	2.26176e-15	5.55556e-14	0.4776
on_demand_tmr	2301251889	0	2	0	2	4	20	20	2	1	2.45616e-15	5.55556e-13	3.4266
on_demand_tmr	3403048542	0	2	0	1	2	20	20	2	1	2.76576e-15	5.55556e-13	3.5634
on_demand_tmr	3493762673	0	2	0	2	1	20	20	2	1	2.68576e-15	5.55556e-13	3.6486
on_demand_tmr	532048401	0	1	0	4	0	10	10	2	1	3.94896e-15	2.77778e-13	1.8136
on_demand_tmr	675231441	0	1	0	4	2	20	20	2	1	2.80896e-15	5.55556e-13	3.6942
on_demand_tmr	786000277	0	1	0	0	4	10	10	2	1	1.72656e-15	2.77778e-13	3.5098
on_demand_tmr	973951015	0	1	0	0	3	10	10	2	1	2.76576e-15	2.77778e-13	1.9188
on_demand_tmr	1037740422	0	1	0	1	0	100	100	2	1	1.64736e-15	2.77778e-12	6.898
on_demand_tmr	1505546133	0	1	0	2	4	100	100	2	1	1.81376e-15	2.77778e-12	4.5844
on_demand_tmr	1593509914	0	1	0	2	0	1000	1000	2	1	1.73056e-15	2.77778e-11	7.4472
on_demand_tmr	1756194084	0	1	0	2	4	50	50	2	1	1.81376e-15	1.38889e-12	4.5844
on_demand_tmr	1899396663	0	1	0	0	2	100	100	2	1	2.36096e-15	2.77778e-12	4.8916
on_demand_tmr	2046192305	0	1	0	0	1	20	20	2	1	2.46016e-15	5.55556e-13	2.879
on_demand_tmr	2190861843	0	1	0	4	1	10	10	2	1	2.55136e-15	2.77778e-13	2.02
on_demand_tmr	2865394915	0	1	0	1	3	20	20	2	1	1.73056e-15	5.55556e-13	2.9622
on_demand_tmr	2922319156	0	1	0	4	0	10	10	2	1	3.94896e-15	2.77778e-13	1.8136
on_demand_tmr	3261810623	0	1	0	0	2	100	100	2	1	2.36096e-15	2.77778e-12	4.8916
on_demand_tmr	3458676610	0	1	0	0	1	10	10	2	1	2.46016e-15	2.77778e-13	2.879
on_demand_tmr	24159486	0	0	0	2	0	20	20	1	0	6.96e-08	1	2.7102
on_demand_tmr	70568202	0	0	0	4	3	10	10	1	0	6.96e-08	1	2.7798
on_demand_tmr	105213474	0	0	0	0	3	100	100	1	0	4.16e-08	1	6.6024
on_demand_tmr	131823740	0	0	0	2	4	10	10	1	0	4.76e-08	1	3.375
on_demand_tmr	212882283	0	0	0	2	1	2	2	1	0	1.346e-07	1	0.3864
on_demand_tmr	222238665	0	0	0	0	1	20	20	1	0	4.96e-08	1	2.879
on_demand_tmr	261015492	0	0	0	2	0	20	20	1	0	6.96e-08	1	2.7102
on_demand_tmr	312494229	0	0	0	4	0	20	20	1	0	8.66e-08	1	1.8136
on_demand_tmr	543084991	0	0	0	2	1	2	2	1	0	1.346e-07	1	0.3864
on_demand_tmr	737398685	0	0	0	1	0	100	100	1	0	4.16e-08	1	6.898
on_demand_tmr	812792877	0	0	0	1	0	10	10	1	0	4.76e-08	1	3.2738
on_demand_tmr	873380127	0	0	0	3	4	20	20	1	0	4.56e-08	1	3.7794
on_demand_tmr	883745476	0	0	0	4	3	10	10	1	0	6.96e-08	1	2.7798
on_demand_tmr	960193018	0	0	0	3	4	20	20	1	0	4.56e-08	1	3.7794
on_demand_tmr	972296103	0	0	0	1	4	10	10	1	0	5.36e-08	1	2.5554
on_demand_tmr	1004076658	0	0	0	2	0	20	20	1	0	6.96e-08	1	2.7102
on_demand_tmr	1014008307	0	0	0	2	1	20	20	1	0	6.16e-08	1	1.6158
on_demand_tmr	1046232498	0	0	0	0	1	100	100	1	0	5.16e-08	1	3.9242
on_demand_tmr	1064132617	0	0	0	4	0	1000	1000	1	0	3.96e-08	1	7.3204
on_demand_tmr	1075823914	0	0	0	4	2	10	10	1	0	6.16e-08	1	1.6774
on_demand_tmr	1154521178	0	0	0	4	1	100	100	1	0	4.96e-08	1	6.652
