retry_distribution_report	D:/document/CODE/paper1/storage/retry_analysis_202647_162820.txt

[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count
foundation	0.57085999999999992	0.57085999999999992	100
baseline1	0.59083999999999981	0.59083999999999981	100
baseline2	0.47896800000000012	0.47896800000000012	100
baseline3	0.35086000000000056	0.35086000000000017	100

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	73	0.0046287123287671239	0.039600000000000003
foundation	B	8	0.0091575000000000007	0.039600000000000003
foundation	C	14	0.0024042857142857138	0.00396
foundation	D	5	0.0018216	0.00396
baseline1	A	73	0.0046287123287671239	0.039600000000000003
baseline1	B	8	0.0091824999999999997	0.039600000000000003
baseline1	C	14	0.0024042857142857138	0.00396
baseline1	D	5	0.0018216	0.00396
baseline2	A	73	0.0046287123287671239	0.039600000000000003
baseline2	B	8	0.0091824999999999997	0.039600000000000003
baseline2	C	14	0.0024042857142857138	0.00396
baseline2	D	5	0.0018216	0.00396
baseline3	A	73	0.069003397260273963	0.16239999999999999
baseline3	B	8	0.0950125	0.20200000000000001
baseline3	C	14	0.05371028571428571	0.13919999999999993
baseline3	D	5	0.059873600000000006	0.087419999999999998

[asil_wcrt_ratio_p99]
scheme	asil	signal_count	avg_wcrt_ratio_p99	max_wcrt_ratio_p99
foundation	A	73	0.0046287123287671239	0.039600000000000003
foundation	B	8	0.0091575000000000007	0.039600000000000003
foundation	C	14	0.0024042857142857138	0.00396
foundation	D	5	0.0018216	0.00396
baseline1	A	73	0.0046287123287671239	0.039600000000000003
baseline1	B	8	0.0091824999999999997	0.039600000000000003
baseline1	C	14	0.0024042857142857138	0.00396
baseline1	D	5	0.0018216	0.00396
baseline2	A	73	0.0046287123287671239	0.039600000000000003
baseline2	B	8	0.0091824999999999997	0.039600000000000003
baseline2	C	14	0.0024042857142857138	0.00396
baseline2	D	5	0.0018216	0.00396
baseline3	A	73	0.069003397260273963	0.16239999999999999
baseline3	B	8	0.0950125	0.20200000000000001
baseline3	C	14	0.05371028571428571	0.13919999999999993
baseline3	D	5	0.059873600000000006	0.087419999999999998

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	73	9.1326084126198435e-06	1.1771930710224865e-05
foundation	B	8	1.0694929795143901e-15	1.2222776908536274e-15
foundation	C	14	1.1437908343498795e-15	1.2840085406808104e-15
foundation	D	5	9.9016832267628397e-16	1.2840085406808104e-15
baseline1	A	73	8.2316270526396178e-06	1.1771930710224865e-05
baseline1	B	8	1.246615580208745e-15	1.4169808056945682e-15
baseline1	C	14	1.2222776908536278e-15	1.2222776908536274e-15
baseline1	D	5	1.2222776908536274e-15	1.2222776908536274e-15
baseline2	A	73	8.2316510288314451e-06	1.1771930710224865e-05
baseline2	B	8	1.0150793494278337e-10	1.2615640700448312e-10
baseline2	C	14	8.9821266117374512e-11	1.1431764171001549e-10
baseline2	D	5	1.2222776908536274e-15	1.2222776908536274e-15
baseline3	A	73	9.9851049042481764e-10	3.6443439599409544e-08
baseline3	B	8	4.5554299638039808e-09	3.6443439599409544e-08
baseline3	C	14	2.3790493384824782e-17	1.1102230246251565e-16
baseline3	D	5	0	0

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	p_fault	p_threshold	expected_wcrt_ms	wcrt_p95_ms	wcrt_p99_ms	wcrt_ratio_p95	wcrt_ratio_p99
foundation	39748927	B	1	0	5	2	3	1.2222776908536274e-15	1.388888888888889e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	2337449709	B	1	1	5	1	3	1.3972790313315005e-25	1.388888888888889e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	535246013	B	1	0	10	0	3	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2027134612	B	1	0	10	2	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2636988833	B	1	0	10	1	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2715424368	B	1	0	10	3	2	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2000966795	B	1	0	20	2	0	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3079758100	A	0	0	1	5	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
foundation	3889627212	A	0	0	1	1	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
foundation	4085120209	A	0	0	1	2	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
foundation	138862700	A	0	0	2	1	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.019800000000000002	0.019800000000000002
foundation	3112775413	A	0	0	2	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.019800000000000002	0.019800000000000002
foundation	481296015	A	0	0	5	5	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	616608204	A	0	0	5	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	1855273306	A	0	0	5	1	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	2605539265	A	0	1	5	0	4	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	2831306017	A	0	0	5	2	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
foundation	90687314	A	0	0	10	4	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	430646417	A	0	0	10	0	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	606726597	A	0	0	10	0	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	1079207767	A	0	0	10	5	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	1104588249	A	0	0	10	3	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	1327292881	A	0	0	10	0	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	1493501194	A	0	1	10	3	2	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	1979378018	A	0	0	10	3	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2085415102	A	0	0	10	2	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2087437808	A	0	0	10	5	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2131469441	A	0	1	10	3	4	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2160514721	A	0	0	10	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2427016239	A	0	0	10	1	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2458310711	A	0	0	10	4	5	1.1231936921318741e-05	1	0.041599999999999998	0.041599999999999998	0.041599999999999998	0.0041599999999999996	0.0041599999999999996
foundation	2467795535	A	0	0	10	3	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2566952302	A	0	0	10	1	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2665035971	A	0	0	10	1	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	2670193180	A	0	0	10	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	3058823173	A	0	0	10	2	1	1.1231936921318741e-05	1	0.041599999999999998	0.041599999999999998	0.041599999999999998	0.0041599999999999996	0.0041599999999999996
foundation	3451794012	A	0	1	10	5	4	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	4102589403	A	0	0	10	4	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	4192194994	A	0	0	10	1	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
foundation	602293555	A	0	0	20	2	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	825593865	A	0	1	20	2	1	1.2840085406808104e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	827773838	A	0	0	20	0	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	1457536629	A	0	0	20	0	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	1607129070	A	0	0	20	4	3	1.1771930710224865e-05	1	0.0436	0.0436	0.0436	0.0021800000000000001	0.0021800000000000001
foundation	1656143697	A	0	1	20	0	5	1.2840085406808104e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	1671714665	A	0	0	20	3	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	1924798388	A	0	1	20	0	5	1.2840085406808104e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	2055990098	A	0	0	20	2	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	2202370351	A	0	1	20	1	0	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	2256841245	A	0	0	20	1	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	2373408406	A	0	0	20	4	3	1.1771930710224865e-05	1	0.0436	0.0436	0.0436	0.0021800000000000001	0.0021800000000000001
foundation	2511808317	A	0	0	20	5	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	2804269330	A	0	1	20	2	5	1.2840085406808104e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3148468367	A	0	0	20	1	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3468683958	A	0	0	20	4	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3648524536	A	0	0	20	5	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3808303016	A	0	1	20	5	4	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3809058744	A	0	1	20	0	2	1.2222776908536274e-15	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	3836442211	A	0	0	20	0	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
foundation	4098206260	A	0	0	20	4	5	1.1231936921318741e-05	1	0.041599999999999998	0.041599999999999998	0.041599999999999998	0.0020799999999999998	0.0020799999999999998
foundation	1629435098	A	0	0	50	2	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	2310044414	A	0	0	50	5	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	2389072511	A	0	0	50	2	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	2947117882	A	0	0	50	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	3896905599	A	0	0	50	5	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	4245730016	A	0	0	50	3	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
foundation	382446085	A	0	0	100	3	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	1789942364	A	0	0	100	4	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	2143942420	A	0	0	100	2	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	2171161352	A	0	0	100	3	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	2741225372	A	0	0	100	4	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	2900853356	A	0	0	100	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3476688662	A	0	0	100	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3498791255	A	0	0	100	5	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3627135396	A	0	0	100	0	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3789796235	A	0	0	100	4	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3930022951	A	0	0	100	2	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	3965871639	A	0	0	100	0	1	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	4093382189	A	0	0	100	1	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
foundation	4159108369	A	0	0	100	5	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
baseline1	531699918	D	3	0	10	2	1	1.2222776908536274e-15	2.7777777777777781e-14	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	220088069	D	3	0	20	2	0	1.2222776908536274e-15	5.5555555555555561e-14	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	272623031	D	3	0	20	0	4	1.2222776908536274e-15	5.5555555555555561e-14	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	3981459150	D	3	1	50	1	3	1.2222776908536274e-15	1.388888888888889e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
baseline1	2775437307	D	3	0	100	3	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
baseline1	318998251	C	2	0	10	0	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	2386547931	C	2	0	10	3	5	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	2783465151	C	2	0	10	4	2	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	3511932383	C	2	0	10	2	1	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	3586730588	C	2	0	10	5	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	3787046653	C	2	0	10	1	3	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	1293951024	C	2	0	20	3	0	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	2050449613	C	2	0	20	2	0	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	2113123330	C	2	0	20	4	1	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	3631772853	C	2	0	20	4	1	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	1148273821	C	2	0	50	1	3	1.2222776908536274e-15	1.3888888888888889e-12	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00079200000000000006	0.00079200000000000006
baseline1	2004297814	C	2	1	100	0	5	1.2222776908536274e-15	2.7777777777777777e-12	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
baseline1	2854759111	C	2	0	100	1	5	1.2222776908536274e-15	2.7777777777777777e-12	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
baseline1	2925594752	C	2	0	100	3	4	1.2222776908536274e-15	2.7777777777777777e-12	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00039600000000000003	0.00039600000000000003
baseline1	115570613	B	1	0	1	3	5	1.2222776908536274e-15	2.7777777777777774e-14	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
baseline1	39748927	B	1	0	5	2	3	1.2222776908536274e-15	1.388888888888889e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
baseline1	2337449709	B	1	1	5	1	3	1.2222776908536274e-15	1.388888888888889e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00792	0.00792
baseline1	535246013	B	1	0	10	0	3	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	2027134612	B	1	0	10	2	4	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	2636988833	B	1	0	10	1	4	1.4169808056945682e-15	2.7777777777777779e-13	0.041599999999999998	0.041599999999999998	0.041599999999999998	0.0041599999999999996	0.0041599999999999996
baseline1	2715424368	B	1	0	10	3	2	1.2222776908536274e-15	2.7777777777777779e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00396	0.00396
baseline1	2000966795	B	1	0	20	2	0	1.2222776908536274e-15	5.5555555555555559e-13	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.00198	0.00198
baseline1	3079758100	A	0	0	1	5	2	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
baseline1	3889627212	A	0	0	1	1	5	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
baseline1	4085120209	A	0	0	1	2	4	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.039600000000000003
baseline1	138862700	A	0	0	2	1	3	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.019800000000000002	0.019800000000000002
baseline1	3112775413	A	0	0	2	2	0	1.0691942840757029e-05	1	0.039600000000000003	0.039600000000000003	0.039600000000000003	0.019800000000000002	0.019800000000000002
