# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.659458	0.881606	55	0
always_on_tmr	0.504656	0.504656	0	0

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	316731210	3	0	1.38889e-14
on_demand_tmr	511927277	3	0	1.38889e-14
on_demand_tmr	1112753983	3	0	2.77778e-13
on_demand_tmr	1681168815	3	0	2.77778e-14
on_demand_tmr	2014651909	3	0	2.77778e-13
on_demand_tmr	2101055341	3	0	2.77778e-14
on_demand_tmr	2466320132	3	0	2.77778e-14
on_demand_tmr	2876955543	3	0	5.55556e-14
on_demand_tmr	3420204315	3	0	5.55556e-15
on_demand_tmr	3504203628	3	0	2.77778e-14
always_on_tmr	316731210	3	5.88418e-15	1.38889e-14
always_on_tmr	511927277	3	6.88338e-15	1.38889e-14
always_on_tmr	1112753983	3	8.10463e-15	2.77778e-13
always_on_tmr	1681168815	3	1.35447e-14	2.77778e-14
always_on_tmr	2014651909	3	8.43769e-15	2.77778e-13
always_on_tmr	2101055341	3	1.57652e-14	2.77778e-14
always_on_tmr	2466320132	3	1.14353e-14	2.77778e-14
always_on_tmr	2876955543	3	7.99361e-15	5.55556e-14
always_on_tmr	3420204315	3	7.43849e-15	5.55556e-15
always_on_tmr	3504203628	3	8.21565e-15	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	316731210	5	5	1.015	3.51	0	0.8112	3.3416	0.01	0	1.025	7.6828	0
on_demand_tmr	511927277	5	5	1.273	3.5536	0	0.93	3.036	0.01	0	1.283	7.5396	0
on_demand_tmr	1112753983	100	100	6.638	17.6796	0	1.831	9.6256	0.01	0	6.648	29.1562	1
on_demand_tmr	1681168815	10	10	2.0584	6.8922	0	1.2632	7.601	0.01	0	2.0684	15.7764	0
on_demand_tmr	2014651909	100	100	6.7728	17.8144	0	1.9498	9.4392	0.01	0	6.7828	29.2234	1
on_demand_tmr	2101055341	10	10	2.987	7.4998	0	1.382	3.8316	0.01	0	2.997	12.7334	0
on_demand_tmr	2466320132	10	10	2.8718	7.3846	0	1.5008	7.333	0.01	0	2.8818	16.2384	0
on_demand_tmr	2876955543	20	20	3.7806	8.8244	0	1.7122	7.7658	0.01	0	3.7906	18.3224	1
on_demand_tmr	3420204315	2	2	0.5938	0.5898	0	0.7206	0.681	0.01	0	0.6038	2.0114	0
on_demand_tmr	3504203628	10	10	3.5586	7.857	0	1.6196	7.7658	0.01	0	3.5686	17.2624	0
always_on_tmr	316731210	5	5	0	0	0.7554	0	0	0.01	0	0.7654	0.7654	1
always_on_tmr	511927277	5	5	0	0	0.7138	0	0	0.01	0	0.7238	0.7238	1
always_on_tmr	1112753983	100	100	0	0	3.5482	0	0	0.01	0	3.5582	3.5582	1
always_on_tmr	1681168815	10	10	0	0	1.454	0	0	0.01	0	1.464	1.464	1
always_on_tmr	2014651909	100	100	0	0	3.679	0	0	0.01	0	3.689	3.689	1
always_on_tmr	2101055341	10	10	0	0	1.6638	0	0	0.01	0	1.6738	1.6738	1
always_on_tmr	2466320132	10	10	0	0	1.8226	0	0	0.01	0	1.8326	1.8326	1
always_on_tmr	2876955543	20	20	0	0	2.6136	0	0	0.01	0	2.6236	2.6236	1
always_on_tmr	3420204315	2	2	0	0	0.4392	0	0	0.01	0	0.4492	0.4492	1
always_on_tmr	3504203628	10	10	0	0	1.9198	0	0	0.01	0	1.9298	1.9298	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	316731210	0	3	1	1	0	5	5	2	1	1.81376e-15	1.38889e-14	3.51
on_demand_tmr	316731210	1	3	2	4	0	5	5	2	1	1.80576e-15	1.38889e-14	2.9468
on_demand_tmr	316731210	2	3	2	2	0	5	5	2	1	2.07536e-15	1.38889e-14	3.3416
on_demand_tmr	511927277	0	3	1	1	2	5	5	2	1	1.81376e-15	1.38889e-14	3.5536
on_demand_tmr	511927277	1	3	2	3	2	5	5	2	1	1.73056e-15	1.38889e-14	3.4248
on_demand_tmr	511927277	2	3	2	0	2	5	5	2	1	1.98016e-15	1.38889e-14	3.036
on_demand_tmr	1112753983	0	3	1	1	2	100	100	2	1	1.73056e-15	2.77778e-13	9.348
on_demand_tmr	1112753983	1	3	2	3	2	100	100	2	1	2.56256e-15	2.77778e-13	17.6796
on_demand_tmr	1112753983	2	3	2	0	2	100	100	2	1	2.76576e-15	2.77778e-13	9.6256
on_demand_tmr	1681168815	0	3	1	2	0	10	10	2	1	3.03456e-15	2.77778e-14	6.8922
on_demand_tmr	1681168815	1	3	2	3	0	10	10	2	1	1.98816e-15	2.77778e-14	6.8226
on_demand_tmr	1681168815	2	3	2	1	0	10	10	2	1	2.24976e-15	2.77778e-14	7.601
on_demand_tmr	2014651909	0	3	1	0	1	100	100	2	1	2.36096e-15	2.77778e-13	17.5764
on_demand_tmr	2014651909	1	3	2	3	1	100	100	2	1	2.17056e-15	2.77778e-13	17.8144
on_demand_tmr	2014651909	2	3	2	2	1	100	100	2	1	2.07936e-15	2.77778e-13	9.4392
on_demand_tmr	2101055341	0	3	1	4	3	10	10	2	1	3.45216e-15	2.77778e-14	7.0114
on_demand_tmr	2101055341	1	3	2	1	3	10	10	2	1	3.30176e-15	2.77778e-14	7.4998
on_demand_tmr	2101055341	2	3	2	2	3	10	10	2	1	2.17056e-15	2.77778e-14	3.8316
on_demand_tmr	2466320132	0	3	1	4	1	10	10	2	1	2.55936e-15	2.77778e-14	7.3846
on_demand_tmr	2466320132	1	3	2	2	1	10	10	2	1	2.80896e-15	2.77778e-14	3.6768
on_demand_tmr	2466320132	2	3	2	0	1	10	10	2	1	2.87296e-15	2.77778e-14	7.333
on_demand_tmr	2876955543	0	3	1	3	4	20	20	2	1	1.80576e-15	5.55556e-14	8.8244
on_demand_tmr	2876955543	1	3	2	1	4	20	20	2	1	2.45616e-15	5.55556e-14	4.9712
on_demand_tmr	2876955543	2	3	2	2	4	20	20	2	1	3.05536e-15	5.55556e-14	7.7658
on_demand_tmr	3420204315	0	3	1	2	1	2	2	3	2	3.04433e-22	5.55556e-15	0.449
