# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.425068	0.43715	38	1
always_on_tmr	0.426331	0.426331	38	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	719390996	3	0	2.77778e-12
on_demand_tmr	1231269899	3	0	2.77778e-14
always_on_tmr	719390996	3	0	2.77778e-12
always_on_tmr	1231269899	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	719390996	1000	1000	4.6424	4.9632	0	0.418	4.7176	0.01	0	4.6524	10.1188	1
on_demand_tmr	1231269899	10	10	0.9158	1.2902	0	0.2992	1.435	0.01	0	0.9258	3.0444	1
always_on_tmr	719390996	1000	1000	0	0	4.476	0	0	0.01	0	4.486	4.486	1
always_on_tmr	1231269899	10	10	0	0	1.2766	0	0	0.01	0	1.2866	1.2866	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	719390996	0	3	1	2	0	1000	1000	2	1	1.73056e-15	2.77778e-12	4.6344
on_demand_tmr	719390996	1	3	2	1	0	1000	1000	2	1	1.89696e-15	2.77778e-12	4.9632
on_demand_tmr	719390996	2	3	2	4	0	1000	1000	2	1	1.73056e-15	2.77778e-12	4.7176
on_demand_tmr	1231269899	0	3	1	1	0	10	10	2	1	2.65856e-15	2.77778e-14	0.937
on_demand_tmr	1231269899	1	3	2	2	0	10	10	2	1	2.93216e-15	2.77778e-14	1.2902
on_demand_tmr	1231269899	2	3	2	3	0	10	10	2	1	2.44416e-15	2.77778e-14	1.435
on_demand_tmr	2179648261	0	3	0	1	4	20	20	2	1	4.05576e-15	5.55556e-14	2.692
on_demand_tmr	2267948328	0	3	0	0	1	10	10	2	1	1.98816e-15	2.77778e-14	1.3358
on_demand_tmr	3160102258	0	3	0	2	4	10	10	2	1	2.65856e-15	2.77778e-14	2.6134
on_demand_tmr	3271828192	0	3	0	3	2	100	100	2	1	2.46016e-15	2.77778e-13	4.3768
on_demand_tmr	3753825931	0	3	0	3	2	10	10	2	1	3.05536e-15	2.77778e-14	2.3178
on_demand_tmr	3948599155	0	3	0	1	0	10	10	2	1	2.65856e-15	2.77778e-14	0.937
on_demand_tmr	3992616353	0	3	0	3	0	10	10	2	1	2.44416e-15	2.77778e-14	1.435
on_demand_tmr	4080617856	0	3	0	2	3	10	10	2	1	3.79456e-15	2.77778e-14	1.717
on_demand_tmr	1467836065	0	2	0	4	1	20	20	2	1	2.07536e-15	5.55556e-13	1.947
on_demand_tmr	1529612232	0	2	0	4	2	100	100	2	1	2.66256e-15	2.77778e-12	3.3164
on_demand_tmr	1717824332	0	2	0	1	3	20	20	2	1	2.04336e-15	5.55556e-13	3.2132
on_demand_tmr	1876370035	0	2	0	3	2	10	10	2	1	3.05536e-15	2.77778e-13	2.3178
on_demand_tmr	2090711183	0	2	0	3	0	20	20	2	1	2.44416e-15	5.55556e-13	1.435
on_demand_tmr	2623783363	0	2	0	0	2	1000	1000	2	1	1.73056e-15	2.77778e-11	4.7592
on_demand_tmr	3039759578	0	2	0	4	3	10	10	2	1	2.80896e-15	2.77778e-13	1.0442
on_demand_tmr	3190424794	0	2	0	2	0	20	20	2	1	2.93216e-15	5.55556e-13	1.2902
on_demand_tmr	3523977774	0	2	0	3	4	10	10	2	1	1.98016e-15	2.77778e-13	2.4586
on_demand_tmr	56813195	0	1	0	0	2	10	10	2	1	3.73056e-15	2.77778e-13	1.5938
on_demand_tmr	146569680	0	1	0	2	3	20	20	2	1	3.79456e-15	5.55556e-13	1.717
on_demand_tmr	310059957	0	1	0	2	4	20	20	2	1	2.65856e-15	5.55556e-13	2.6134
on_demand_tmr	431389500	0	1	0	4	1	100	100	2	1	2.07936e-15	2.77778e-12	4.018
on_demand_tmr	735325136	0	1	0	3	2	20	20	2	1	3.05536e-15	5.55556e-13	2.3178
on_demand_tmr	786324104	0	1	0	2	0	10	10	2	1	2.93216e-15	2.77778e-13	1.2902
on_demand_tmr	1075148606	0	1	0	4	1	10	10	2	1	2.07536e-15	2.77778e-13	1.947
on_demand_tmr	1352281296	0	1	0	4	2	1000	1000	2	1	1.56816e-15	2.77778e-11	4.9216
on_demand_tmr	2661885450	0	1	0	4	2	50	50	2	1	2.66256e-15	1.38889e-12	3.3164
on_demand_tmr	2698580483	0	1	0	3	1	10	10	2	1	4.84176e-15	2.77778e-13	0.8834
on_demand_tmr	3075919799	0	1	0	4	0	10	10	2	1	1.96416e-15	2.77778e-13	1.5242
on_demand_tmr	3232902268	0	1	0	2	0	10	10	2	1	2.93216e-15	2.77778e-13	1.2902
on_demand_tmr	3444590217	0	1	0	2	3	100	100	2	1	1.90096e-15	2.77778e-12	3.8336
on_demand_tmr	3703264919	0	1	0	2	4	100	100	2	1	1.81376e-15	2.77778e-12	4.464
on_demand_tmr	4283150532	0	1	0	3	2	20	20	2	1	3.05536e-15	5.55556e-13	2.3178
on_demand_tmr	15972513	0	0	0	3	0	10	10	1	0	5.36e-08	1	1.435
