# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202653_15533\retry_probability_reports\E5S120_5ecu_120signals_008.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.4153451999999998	0.4153451999999998	120	31	1
baseline1	0.48631919999999995	0.48631919999999995	120	79	1
baseline2	0.28738616143179418	0.28738599999999997	120	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.068052955555567549	0.26520000000010668
foundation	B	12	0.081617833333339815	0.17280000000001791
foundation	C	12	0.091352300000022188	0.21960000000012769
foundation	D	6	0.10525966666669291	0.21960000000012769
baseline1	A	90	0.10258644444444925	0.27240000000006148
baseline1	B	12	0.13056350000000114	0.25304000000000071
baseline1	C	12	0.11990466666667519	0.33400000000006003
baseline1	D	6	0.12091833333334495	0.33400000000006003
baseline2	A	90	0.06171188888888883	0.28539999999999999
baseline2	B	12	0.053575166666666674	0.13603999999999999
baseline2	C	12	0.07752966666666665	0.19619999999999999
baseline2	D	6	0.078785999999999995	0.19619999999999999

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	5.2988887419881087e-08	1.025999947366202e-07
foundation	B	12	2.2440932242476945e-15	3.1785598200935101e-15
foundation	C	12	2.238093226469561e-15	2.8729598460093496e-15
foundation	D	6	1.852266596786018e-15	2.6625598626119082e-15
baseline1	A	90	2.6040001075473667e-08	7.859999691102008e-08
baseline1	B	12	4.0497763214446552e-15	1.8117157561430457e-14
baseline1	C	12	3.5196163946176427e-15	1.8117157561430457e-14
baseline1	D	6	2.4381332369220713e-15	3.7945597662551131e-15
baseline2	A	90	4.9343245538895848e-18	1.1102230246251565e-16
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	1.8503717077085941e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	7
baseline1	A	90	46
baseline1	B	12	12
baseline1	C	12	14
baseline1	D	6	7
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	862588202	B	1	0	10	0	2	2	1	2.8729598460093496e-15	2.7777777777777779e-13	0.98000000000007503	2.886579864025407e-15	0.98000000000007503	0.98000000000007503
foundation	2363367909	B	1	0	10	4	3	2	1	3.1785598200935101e-15	2.7777777777777779e-13	0.74200000000007549	3.219646771412954e-15	0.74200000000007549	0.74200000000007549
foundation	2479786018	B	1	0	10	0	1	2	1	2.7657598545210287e-15	2.7777777777777779e-13	0.68040000000007694	2.7755575615628914e-15	0.68040000000007694	0.68040000000007694
foundation	3923551683	B	1	0	10	1	4	2	1	1.988159911328067e-15	2.7777777777777779e-13	1.6584000000001424	1.9984014443252818e-15	1.6584000000001424	1.6584000000001424
foundation	929503011	B	1	0	20	0	3	2	1	1.6473599331171859e-15	5.5555555555555559e-13	2.3758000000000834	1.6653345369377348e-15	2.3758000000000834	2.3758000000000834
foundation	2510890863	B	1	0	20	3	2	2	1	2.2657598921498278e-15	5.5555555555555559e-13	1.5236000000001013	2.2204460492503131e-15	1.5236000000001013	1.5236000000001013
foundation	2124871715	B	1	1	50	4	1	2	1	1.9009599171181472e-15	1.3888888888888889e-12	2.5912000000001285	1.8873791418627661e-15	2.5912000000001285	2.5912000000001285
foundation	2619983103	B	1	0	50	1	4	2	1	1.5681599379008662e-15	1.3888888888888889e-12	2.6704000000001429	1.5543122344752192e-15	2.6704000000001429	2.6704000000001429
foundation	1216499389	B	1	0	100	1	0	2	1	1.9009599171181472e-15	2.7777777777777777e-12	3.4812000000002854	1.8873791418627661e-15	3.4812000000002854	3.4812000000002854
foundation	2004427420	B	1	0	100	2	3	2	1	2.0753599053635875e-15	2.7777777777777777e-12	2.9876000000002136	2.1094237467877974e-15	2.9876000000002136	2.9876000000002136
foundation	3871444264	B	1	0	100	0	4	2	1	1.7305599280087053e-15	2.7777777777777777e-12	3.5644000000003189	1.6653345369377348e-15	3.5644000000003189	3.5644000000003189
foundation	3214650	A	0	0	1	2	1	1	0	4.3599999049520024e-08	1	0.074800000000152522	4.3599999055565775e-08	0.074800000000152522	0.074800000000152522
foundation	1348407058	A	0	0	1	0	2	1	0	4.5599998960320021e-08	1	0.26520000000010668	4.5599998999001912e-08	0.26520000000010668	0.26520000000010668
foundation	2610275406	A	0	0	1	2	1	1	0	4.3599999049520024e-08	1	0.074800000000152522	4.3599999055565775e-08	0.074800000000152522	0.074800000000152522
foundation	55984615	A	0	0	2	0	2	1	0	4.5599998960320021e-08	1	0.26520000000010668	4.5599998999001912e-08	0.26520000000010668	0.26520000000010668
foundation	285094537	A	0	0	2	0	1	1	0	5.1599998668720023e-08	1	0.12640000000016016	5.159999871828802e-08	0.12640000000016016	0.12640000000016016
foundation	1106525152	A	0	0	2	0	1	1	0	5.1599998668720023e-08	1	0.12640000000016016	5.159999871828802e-08	0.12640000000016016	0.12640000000016016
foundation	1188612195	A	0	0	5	2	1	1	0	4.7599998867120025e-08	1	0.28160000000002583	4.7599998831415746e-08	0.28160000000002583	0.28160000000002583
foundation	2029088328	A	0	0	5	2	1	1	0	4.7599998867120025e-08	1	0.28160000000002583	4.7599998831415746e-08	0.28160000000002583	0.28160000000002583
foundation	2157321635	A	0	0	5	0	1	1	0	5.1599998668720023e-08	1	0.33320000000003347	5.159999871828802e-08	0.33320000000003347	0.33320000000003347
