# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.504323	0.530875	42	1
always_on_tmr	0.505227	0.505227	42	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.497479	4.9762	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	17504628	3	0	2.77778e-13
on_demand_tmr	112294910	3	0	2.77778e-14
on_demand_tmr	222220226	3	0	2.77778e-13
on_demand_tmr	226444505	3	0	2.77778e-14
always_on_tmr	17504628	3	0	2.77778e-13
always_on_tmr	112294910	3	0	2.77778e-14
always_on_tmr	222220226	3	0	2.77778e-13
always_on_tmr	226444505	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	17504628	100	100	4.8288	5.5714	0	5.7002	4.6442	0.01	0	4.8388	15.9358	1
on_demand_tmr	112294910	10	10	1.9222	1.9222	0	2.537	1.7178	0.01	0	1.9322	6.197	1
on_demand_tmr	222220226	100	100	3.9726	4.557	0	5.819	5.6606	0.01	0	3.9826	16.0566	1
on_demand_tmr	226444505	10	10	2.0394	2.0394	0	2.6558	1.301	0.01	0	2.0494	6.0162	1
always_on_tmr	17504628	100	100	0	0	4.6694	0	0	0.01	0	4.6794	4.6794	1
always_on_tmr	112294910	10	10	0	0	1.7058	0	0	0.01	0	1.7158	1.7158	1
always_on_tmr	222220226	100	100	0	0	4.8042	0	0	0.01	0	4.8142	4.8142	1
always_on_tmr	226444505	10	10	0	0	1.9872	0	0	0.01	0	1.9972	1.9972	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	17504628	0	3	1	4	3	100	100	2	1	1.73056e-15	2.77778e-13	5.5714
on_demand_tmr	17504628	1	3	2	2	3	100	100	2	1	1.89696e-15	2.77778e-13	4.0338
on_demand_tmr	17504628	2	3	2	0	3	100	100	2	1	1.89696e-15	2.77778e-13	4.6442
