# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S200_5ecu_200signals_080.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.44238680000000019	0.44238680000000019	200	50	1
baseline1	0.48973079999999958	0.48973079999999958	200	155	1
baseline2	0.31951253641235711	0.31951239999999975	200	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.078717658666721521	0.27160000000071705
foundation	B	20	0.06337138000001459	0.16872000000004164
foundation	C	20	0.09054642000006638	0.19240000000070268
foundation	D	10	0.11165196000009277	0.19240000000070268
baseline1	A	150	0.11136892266673071	0.31760000000065247
baseline1	B	20	0.074229500000020543	0.20404000000006023
baseline1	C	20	0.087251900000067759	0.2384000000006381
baseline1	D	10	0.12613592000009355	0.2384000000006381
baseline2	A	150	0.058569253333333279	0.25960000000000005
baseline2	B	20	0.034430539999999996	0.079039999999999985
baseline2	C	20	0.053511219999999991	0.1804
baseline2	D	10	0.077258199999999999	0.1804

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	4.07333324999866e-08	6.1599998102720045e-08
foundation	B	20	1.6757199311904021e-15	2.1705598988519072e-15
foundation	C	20	1.7242799272876983e-15	2.6857598587290292e-15
foundation	D	10	1.8475199186696024e-15	2.6857598587290292e-15
baseline1	A	150	1.1960001016882617e-08	4.1599999134720006e-08
baseline1	B	20	1.7507999265106899e-15	2.2657598921498278e-15
baseline1	C	20	1.8971599142065466e-15	3.7945597662551131e-15
baseline1	D	10	2.0962398984259554e-15	3.7945597662551131e-15
baseline2	A	150	8.1416355139178147e-18	1.1102230246251565e-16
baseline2	B	20	3.3306690738754695e-17	1.1102230246251565e-16
baseline2	C	20	1.6653345369377347e-17	1.1102230246251565e-16
baseline2	D	10	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	105
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	3043576336	C	2	0	20	2	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.4280000000005657	1.5543122344752192e-15	2.4280000000005657	2.4280000000005657
foundation	3119934529	C	2	0	20	2	3	2	1	1.7305599280087053e-15	5.5555555555555559e-13	0.67920000000015079	1.6653345369377348e-15	0.67920000000015079	0.67920000000015079
foundation	3625200684	C	2	0	20	0	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.2852000000003159	1.5543122344752192e-15	1.2852000000003159	1.2852000000003159
foundation	3856082593	C	2	0	20	3	4	2	1	1.7305599280087053e-15	5.5555555555555559e-13	1.3684000000003493	1.6653345369377348e-15	1.3684000000003493	1.3684000000003493
foundation	4251084805	C	2	0	20	4	1	2	1	1.6473599331171859e-15	5.5555555555555559e-13	2.3488000000005513	1.6653345369377348e-15	2.3488000000005513	2.3488000000005513
foundation	490848618	C	2	1	100	1	0	2	1	1.6473599331171859e-15	2.7777777777777777e-12	3.4300000000007458	1.6653345369377348e-15	3.4300000000007458	3.4300000000007458
foundation	1268903538	C	2	0	100	4	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.8280000000006567	1.5543122344752192e-15	2.8280000000006567	2.8280000000006567
foundation	2817432654	C	2	0	100	2	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.5964000000007559	1.5543122344752192e-15	3.5964000000007559	3.5964000000007559
foundation	3616736892	C	2	0	100	3	4	2	1	1.6473599331171859e-15	2.7777777777777777e-12	2.9944000000006668	1.6653345369377348e-15	2.9944000000006668	2.9944000000006668
foundation	4002196250	C	2	0	100	3	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.3904000000007386	1.5543122344752192e-15	3.3904000000007386	3.3904000000007386
foundation	937466570	C	2	0	1000	4	0	2	1	1.5681599379008662e-15	2.7777777777777777e-11	4.3964000000000052	1.5543122344752192e-15	4.3964000000000052	4.3964000000000052
foundation	2454212093	B	1	0	5	2	0	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.43560000000007904	1.5543122344752192e-15	0.43560000000007904	0.43560000000007904
foundation	1680075076	B	1	0	10	2	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.6872000000004164	1.5543122344752192e-15	1.6872000000004164	1.6872000000004164
foundation	2463500152	B	1	0	10	2	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.6872000000004164	1.5543122344752192e-15	1.6872000000004164	1.6872000000004164
foundation	4219659938	B	1	0	10	2	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.43560000000007904	1.5543122344752192e-15	0.43560000000007904	0.43560000000007904
foundation	387760124	B	1	0	20	0	2	2	1	1.7305599280087053e-15	5.5555555555555559e-13	2.4696000000005824	1.6653345369377348e-15	2.4696000000005824	2.4696000000005824
foundation	1316254163	B	1	0	20	4	0	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.8716000000004556	1.6653345369377348e-15	1.8716000000004556	1.8716000000004556
foundation	1795725542	B	1	0	20	2	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0080000000002656	1.5543122344752192e-15	1.0080000000002656	1.0080000000002656
foundation	2348431402	B	1	0	20	2	3	2	1	1.7305599280087053e-15	5.5555555555555559e-13	0.67920000000015079	1.6653345369377348e-15	0.67920000000015079	0.67920000000015079
