# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E8S50_8ecu_50signals_072.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.23570720000000003	0.23570720000000003	50	12	1
baseline1	0.23570720000000001	0.23570720000000001	50	12	1
baseline2	0.20125527943415256	0.20125519999999997	50	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	38	0.046686747368448633	0.11280000000022028
foundation	B	5	0.064558400000012867	0.087520000000017723
foundation	C	5	0.070736000000013982	0.095440000000019148
foundation	D	2	0.065840000000014248	0.083360000000016046
baseline1	A	38	0.045967694736869562	0.11280000000022028
baseline1	B	5	0.077309600000015161	0.099400000000019875
baseline1	C	5	0.063291200000012621	0.091480000000018435
baseline1	D	2	0.061880000000013521	0.075440000000014606
baseline2	A	38	0.042950631578947379	0.12279999999999999
baseline2	B	5	0.051094399999999998	0.071680000000000008
baseline2	C	5	0.047451199999999999	0.067720000000000002
baseline2	D	2	0.056929999999999994	0.065539999999999987

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	38	3.9810525522951613e-08	4.3599999049520024e-08
foundation	B	5	1.5681599379008662e-15	1.5681599379008662e-15
foundation	C	5	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	2	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	38	3.9810525522951613e-08	4.3599999049520024e-08
baseline1	B	5	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	C	5	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	D	2	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	38	8.7649186154617617e-18	1.1102230246251565e-16
baseline2	B	5	0	0
baseline2	C	5	0	0
baseline2	D	2	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	38	0
foundation	B	5	5
foundation	C	5	5
foundation	D	2	2
baseline1	A	38	0
baseline1	B	5	5
baseline1	C	5	5
baseline1	D	2	2
baseline2	A	38	0
baseline2	B	5	0
baseline2	C	5	0
baseline2	D	2	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	1658215852	A	0	0	100	5	7	1	0	3.9599999215920021e-08	1	1.8652000000003568	3.95999991686935e-08	1.8652000000003568	1.8652000000003568
foundation	1937605706	A	0	0	100	6	2	1	0	3.9599999215920021e-08	1	2.1820000000004143	3.95999991686935e-08	2.1820000000004143	2.1820000000004143
foundation	2174576637	A	0	0	100	0	4	1	0	3.9599999215920021e-08	1	2.2216000000004215	3.95999991686935e-08	2.2216000000004215	2.2216000000004215
foundation	2348405371	A	0	0	100	4	6	1	0	3.9599999215920021e-08	1	1.7464000000003352	3.95999991686935e-08	1.7464000000003352	1.7464000000003352
foundation	2516790675	A	0	0	100	1	0	1	0	3.9599999215920021e-08	1	2.3008000000004358	3.95999991686935e-08	2.3008000000004358	2.3008000000004358
foundation	3116461889	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	1.904800000000364	3.95999991686935e-08	1.904800000000364	1.904800000000364
foundation	3321346229	A	0	0	1000	3	7	1	0	3.9599999215920021e-08	1	2.3800000000000026	3.95999991686935e-08	2.3800000000000026	2.3800000000000026
foundation	3794107495	A	0	0	1000	7	0	1	0	3.9599999215920021e-08	1	2.3404000000000025	3.95999991686935e-08	2.3404000000000025	2.3404000000000025
baseline1	1492151666	D	3	0	5	0	1	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.24160000000006221	1.5543122344752192e-15	0.24160000000006221	0.24160000000006221
baseline1	3458771359	D	3	0	20	5	2	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.5088000000002921	1.5543122344752192e-15	1.5088000000002921	1.5088000000002921
baseline1	943790826	C	2	0	10	5	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.91480000000018435	1.5543122344752192e-15	0.91480000000018435	0.91480000000018435
baseline1	1532289047	C	2	0	10	5	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.47920000000010532	1.5543122344752192e-15	0.47920000000010532	0.47920000000010532
baseline1	617667422	C	2	0	20	4	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.5880000000003065	1.5543122344752192e-15	1.5880000000003065	1.5880000000003065
baseline1	3174430425	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.5484000000002993	1.5543122344752192e-15	1.5484000000002993	1.5484000000002993
baseline1	1330281327	C	2	0	100	5	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.0236000000003855	1.5543122344752192e-15	2.0236000000003855	2.0236000000003855
baseline1	2820492146	B	1	0	10	3	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.95440000000019154	1.5543122344752192e-15	0.95440000000019154	0.95440000000019154
baseline1	3737822643	B	1	0	10	1	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.99400000000019872	1.5543122344752192e-15	0.99400000000019872	0.99400000000019872
baseline1	227399075	B	1	0	20	6	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.7068000000003281	1.5543122344752192e-15	1.7068000000003281	1.7068000000003281
baseline1	3884929148	B	1	0	20	2	4	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.6672000000003209	1.5543122344752192e-15	1.6672000000003209	1.6672000000003209
baseline1	3024969734	B	1	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.3008000000004358	1.5543122344752192e-15	2.3008000000004358	2.3008000000004358
baseline1	1189105124	A	0	0	1	1	0	1	0	3.9599999215920021e-08	1	0.073200000000213095	3.95999991686935e-08	0.073200000000213095	0.073200000000213095
baseline1	2572750364	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.11280000000022028	3.95999991686935e-08	0.11280000000022028	0.11280000000022028
baseline1	361738888	A	0	0	2	2	1	1	0	3.9599999215920021e-08	1	0.11280000000022028	3.95999991686935e-08	0.11280000000022028	0.11280000000022028
baseline1	2310633753	A	0	0	2	0	2	1	0	3.9599999215920021e-08	1	0.14240000000040709	3.95999991686935e-08	0.14240000000040709	0.14240000000040709
baseline1	1454840592	A	0	0	5	0	2	1	0	4.3599999049520024e-08	1	0.16240000000004784	4.3599999055565775e-08	0.16240000000004784	0.16240000000004784
baseline1	225220996	A	0	0	10	3	2	1	0	3.9599999215920021e-08	1	0.36040000000008376	3.95999991686935e-08	0.36040000000008376	0.36040000000008376
baseline1	301800762	A	0	0	10	5	0	1	0	3.9599999215920021e-08	1	0.7960000000001628	3.95999991686935e-08	0.7960000000001628	0.7960000000001628
baseline1	544855307	A	0	0	10	7	0	1	0	3.9599999215920021e-08	1	0.63760000000013406	3.95999991686935e-08	0.63760000000013406	0.63760000000013406
baseline1	1079768509	A	0	0	10	2	7	1	0	3.9599999215920021e-08	1	0.87520000000017717	3.95999991686935e-08	0.87520000000017717	0.87520000000017717
baseline1	1426995367	A	0	0	10	5	6	1	0	3.9599999215920021e-08	1	0.59800000000012687	3.95999991686935e-08	0.59800000000012687	0.59800000000012687
baseline1	1554645348	A	0	0	10	0	2	1	0	4.3599999049520024e-08	1	0.16240000000004784	4.3599999055565775e-08	0.16240000000004784	0.16240000000004784
baseline1	2270526250	A	0	0	10	6	2	1	0	3.9599999215920021e-08	1	0.83560000000016998	3.95999991686935e-08	0.83560000000016998	0.83560000000016998
baseline1	2964535156	A	0	0	10	7	6	1	0	3.9599999215920021e-08	1	0.55840000000011969	3.95999991686935e-08	0.55840000000011969	0.55840000000011969
baseline1	2983413379	A	0	0	10	6	3	1	0	3.9599999215920021e-08	1	0.28120000000006939	3.95999991686935e-08	0.28120000000006939	0.28120000000006939
baseline1	3613374892	A	0	0	10	2	3	1	0	3.9599999215920021e-08	1	0.5188000000001125	3.95999991686935e-08	0.5188000000001125	0.5188000000001125
baseline1	4210963341	A	0	0	10	3	6	1	0	3.9599999215920021e-08	1	0.43960000000009813	3.95999991686935e-08	0.43960000000009813	0.43960000000009813
baseline1	4285080894	A	0	0	10	2	1	1	0	3.9599999215920021e-08	1	0.40000000000009095	3.95999991686935e-08	0.40000000000009095	0.40000000000009095
baseline1	104864603	A	0	0	20	5	0	1	0	3.9599999215920021e-08	1	0.7960000000001628	3.95999991686935e-08	0.7960000000001628	0.7960000000001628
baseline1	376313215	A	0	0	20	0	4	1	0	3.9599999215920021e-08	1	1.4296000000002778	3.95999991686935e-08	1.4296000000002778	1.4296000000002778
baseline1	536739072	A	0	0	20	7	1	1	0	3.9599999215920021e-08	1	1.3108000000002562	3.95999991686935e-08	1.3108000000002562	1.3108000000002562
baseline1	1151159604	A	0	0	20	3	6	1	0	3.9599999215920021e-08	1	0.43960000000009813	3.95999991686935e-08	0.43960000000009813	0.43960000000009813
baseline1	1183267247	A	0	0	20	3	4	1	0	3.9599999215920021e-08	1	1.2316000000002418	3.95999991686935e-08	1.2316000000002418	1.2316000000002418
baseline1	2150212618	A	0	0	20	2	5	1	0	3.9599999215920021e-08	1	1.1524000000002275	3.95999991686935e-08	1.1524000000002275	1.1524000000002275
baseline1	3191627919	A	0	0	20	2	1	1	0	3.9599999215920021e-08	1	0.40000000000009095	3.95999991686935e-08	0.40000000000009095	0.40000000000009095
baseline1	3443366532	A	0	0	20	0	4	1	0	3.9599999215920021e-08	1	1.4296000000002778	3.95999991686935e-08	1.4296000000002778	1.4296000000002778
baseline1	3710159237	A	0	0	20	7	5	1	0	3.9599999215920021e-08	1	1.6276000000003137	3.95999991686935e-08	1.6276000000003137	1.6276000000003137
baseline1	4051967399	A	0	0	20	1	5	1	0	3.9599999215920021e-08	1	1.271200000000249	3.95999991686935e-08	1.271200000000249	1.271200000000249
baseline1	2037419618	A	0	0	50	4	6	1	0	3.9599999215920021e-08	1	1.7464000000003352	3.95999991686935e-08	1.7464000000003352	1.7464000000003352
baseline1	170468499	A	0	0	100	7	4	1	0	3.9599999215920021e-08	1	1.9444000000003712	3.95999991686935e-08	1.9444000000003712	1.9444000000003712
baseline1	205335151	A	0	0	100	5	4	1	0	3.9599999215920021e-08	1	2.1820000000004143	3.95999991686935e-08	2.1820000000004143	2.1820000000004143
baseline1	1658215852	A	0	0	100	5	7	1	0	3.9599999215920021e-08	1	1.904800000000364	3.95999991686935e-08	1.904800000000364	1.904800000000364
baseline1	1937605706	A	0	0	100	6	2	1	0	3.9599999215920021e-08	1	2.2216000000004215	3.95999991686935e-08	2.2216000000004215	2.2216000000004215
baseline1	2174576637	A	0	0	100	0	4	1	0	3.9599999215920021e-08	1	1.7860000000003424	3.95999991686935e-08	1.7860000000003424	1.7860000000003424
baseline1	2348405371	A	0	0	100	4	6	1	0	3.9599999215920021e-08	1	1.7464000000003352	3.95999991686935e-08	1.7464000000003352	1.7464000000003352
baseline1	2516790675	A	0	0	100	1	0	1	0	3.9599999215920021e-08	1	2.2612000000004286	3.95999991686935e-08	2.2612000000004286	2.2612000000004286
baseline1	3116461889	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	1.9840000000003783	3.95999991686935e-08	1.9840000000003783	1.9840000000003783
baseline1	3321346229	A	0	0	1000	3	7	1	0	3.9599999215920021e-08	1	2.3800000000000026	3.95999991686935e-08	2.3800000000000026	2.3800000000000026
baseline1	3794107495	A	0	0	1000	7	0	1	0	3.9599999215920021e-08	1	2.3404000000000025	3.95999991686935e-08	2.3404000000000025	2.3404000000000025
baseline2	1492151666	D	3	0	5	0	1	1	0	0	1.388888888888889e-14	0.24160001536576095	0	0.24159999999999998	0.36880000000000002
baseline2	3458771359	D	3	0	20	5	2	1	0	0	5.5555555555555561e-14	1.3108000833668851	0	1.3107999999999997	1.4379999999999997
baseline2	943790826	C	2	0	10	5	4	1	0	0	2.7777777777777779e-13	0.67720004306992276	0	0.67720000000000002	0.74080000000000001
baseline2	1532289047	C	2	0	10	5	3	1	0	0	2.7777777777777779e-13	0.32080002040288136	0	0.32080000000000003	0.38440000000000002
baseline2	617667422	C	2	0	20	4	1	1	0	0	5.5555555555555559e-13	1.1524000732926447	0	1.1523999999999999	1.2795999999999998
baseline2	3174430425	C	2	0	20	4	3	1	0	0	5.5555555555555559e-13	1.271200080848325	0	1.2711999999999997	1.3983999999999996
baseline2	1330281327	C	2	0	100	5	2	1	0	0	2.7777777777777777e-12	1.6276001035153671	0	1.6276000000000004	1.6912000000000005
baseline2	2820492146	B	1	0	10	3	7	1	0	0	2.7777777777777779e-13	0.63760004055136277	0	0.63760000000000017	0.70120000000000016
baseline2	3737822643	B	1	0	10	1	2	1	0	0	2.7777777777777779e-13	0.71680004558848309	0	0.7168000000000001	0.84400000000000008
baseline2	227399075	B	1	0	20	6	0	1	0	0	5.5555555555555559e-13	1.1920000758112046	0	1.1919999999999997	1.3191999999999997
baseline2	3884929148	B	1	0	20	2	4	1	0	0	5.5555555555555559e-13	0.91480005818132148	0	0.91479999999999995	0.97839999999999994
baseline2	3024969734	B	1	0	100	3	0	1	0	0	2.7777777777777777e-12	1.469200093441126	0	1.4692000000000001	1.5328000000000002
