# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.509463	0.549083	46	1
always_on_tmr	0.507299	0.507299	46	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.499295	4.9902	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	17504628	3	0	2.77778e-13
on_demand_tmr	112294910	3	0	2.77778e-14
on_demand_tmr	222220226	3	0	2.77778e-13
on_demand_tmr	226444505	3	0	2.77778e-14
on_demand_tmr	289543753	3	0	2.77778e-14
on_demand_tmr	320297689	3	0	2.77778e-13
always_on_tmr	17504628	3	0	2.77778e-13
always_on_tmr	112294910	3	0	2.77778e-14
always_on_tmr	222220226	3	0	2.77778e-13
always_on_tmr	226444505	3	0	2.77778e-14
always_on_tmr	289543753	3	0	2.77778e-14
always_on_tmr	320297689	3	0	2.77778e-13

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	17504628	100	100	4.8032	6.017	0	0.7428	5.5988	0.01	0	4.8132	12.3786	1
on_demand_tmr	112294910	10	10	1.9648	3.0244	0	0.3864	2.828	0.01	0	1.9748	6.2588	1
on_demand_tmr	222220226	100	100	3.9906	5.5096	0	0.8616	6.4114	0.01	0	4.0006	12.8026	1
on_demand_tmr	226444505	10	10	2.4758	3.4066	0	0.5052	2.0188	0.01	0	2.4858	5.9506	1
on_demand_tmr	289543753	10	10	1.4808	2.5404	0	0.624	3.4066	0.01	0	1.4908	6.591	1
on_demand_tmr	320297689	100	100	4.5118	5.7256	0	0.9804	4.729	0.01	0	4.5218	11.455	1
always_on_tmr	17504628	100	100	0	0	3.9806	0	0	0.01	0	3.9906	3.9906	1
always_on_tmr	112294910	10	10	0	0	2.4698	0	0	0.01	0	2.4798	2.4798	1
always_on_tmr	222220226	100	100	0	0	4.8924	0	0	0.01	0	4.9024	4.9024	1
always_on_tmr	226444505	10	10	0	0	2.4222	0	0	0.01	0	2.4322	2.4322	1
always_on_tmr	289543753	10	10	0	0	2.4222	0	0	0.01	0	2.4322	2.4322	1
always_on_tmr	320297689	100	100	0	0	4.597	0	0	0.01	0	4.607	4.607	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	17504628	0	3	1	4	3	100	100	2	1	1.73056e-15	2.77778e-13	6.017
on_demand_tmr	17504628	1	3	2	2	3	100	100	2	1	1.89696e-15	2.77778e-13	4.6834
on_demand_tmr	17504628	2	3	2	0	3	100	100	2	1	1.89696e-15	2.77778e-13	5.5988
on_demand_tmr	112294910	0	3	1	4	2	10	10	2	1	2.36096e-15	2.77778e-14	2.9232
on_demand_tmr	112294910	1	3	2	3	2	10	10	2	1	2.45616e-15	2.77778e-14	3.0244
on_demand_tmr	112294910	2	3	2	1	2	10	10	2	1	2.55136e-15	2.77778e-14	2.828
on_demand_tmr	222220226	0	3	1	4	1	100	100	2	1	2.06336e-15	2.77778e-13	5.0026
on_demand_tmr	222220226	1	3	2	3	1	100	100	2	1	1.98016e-15	2.77778e-13	5.5096
on_demand_tmr	222220226	2	3	2	0	1	100	100	2	1	2.17056e-15	2.77778e-13	6.4114
on_demand_tmr	226444505	0	3	1	3	4	10	10	2	1	3.59136e-15	2.77778e-14	2.5404
on_demand_tmr	226444505	1	3	2	2	4	10	10	2	1	8.06436e-15	2.77778e-14	3.4066
on_demand_tmr	226444505	2	3	2	0	4	10	10	2	1	4.28736e-15	2.77778e-14	2.0188
on_demand_tmr	289543753	0	3	1	0	4	10	10	2	1	4.28736e-15	2.77778e-14	2.0188
on_demand_tmr	289543753	1	3	2	3	4	10	10	2	1	3.59136e-15	2.77778e-14	2.5404
on_demand_tmr	289543753	2	3	2	2	4	10	10	2	1	8.06436e-15	2.77778e-14	3.4066
